DATAFLOW,FREQ,CLIMATE_CHANGE_INDICATORS,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1903,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1904,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1905,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1906,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1907,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1908,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1909,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1910,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1911,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1912,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1913,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1914,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1915,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1916,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1917,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1918,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1919,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1920,2,,N,,,N,
