DATAFLOW,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,BASE_PER,NATURE,TIME_DETAIL,COMMENT_OBS,TIME_COVERAGE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_TS,GEO_INFO_URL,GEO_INFO_TYPE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2000,65.42,X,0,PT,,E,2000,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2001,66.3,X,0,PT,,E,2001,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2002,67.18,X,0,PT,,E,2002,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2003,68.05,X,0,PT,,E,2003,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2004,69.12,X,0,PT,,E,2004,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2005,70.21,X,0,PT,,E,2005,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2006,71.31,X,0,PT,,E,2006,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2007,72.43,X,0,PT,,E,2007,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2008,73.56,X,0,PT,,E,2008,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2009,74.7,X,0,PT,,E,2009,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2010,75.86,X,0,PT,,E,2010,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2011,77.02,X,0,PT,,E,2011,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2012,78.2,X,0,PT,,E,2012,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2013,79.39,X,0,PT,,E,2013,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2014,80.6,X,0,PT,,E,2014,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,81.81,X,0,PT,,E,2015,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,83.03,X,0,PT,,E,2016,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2017,84.25,X,0,PT,,E,2017,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,85.48,X,0,PT,,E,2018,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,86.71,X,0,PT,,E,2019,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,87.94,X,0,PT,,E,2020,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,89.18,X,0,PT,,E,2021,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,90.42,X,0,PT,,E,2022,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
SPC:DF_SDG(4.3),A,G,SH_H2O_SAFE,PW,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2023,90.6,X,0,PT,,E,2023,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2025)",,,,,2025-09-16T00:00:00
